category,mode,tokens,prompt_tokens,tokens_per_step_cap,accepted_tokens_per_step,verified_nodes_per_step,total_s,ttft_s,tps,speedup_vs_base,prefix_match_vs_base,peak_alloc_mb,peak_reserved_mb,model_context_window,context_utilization,fp16_kv_mb_est,ideal_turbo_vq_kv_mb_est,ideal_turbo_vq_transfer_reduction,packed_kv_qjl_sidecar_mb_est,packed_kv_qjl_sidecar_pct_of_fp16_kv,stat_adaptive_tree_balanced_choice_count,stat_adaptive_tree_balanced_steps,stat_adaptive_tree_primary_choice_count,stat_adaptive_tree_steps,stat_candidate_paths_considered,stat_decode_steps,stat_draft_head_type,stat_fallback_full_tree_steps,stat_full_tree_steps,stat_fused_lm_head_argmax_steps,stat_generated_tokens,stat_kv_cache_max_length,stat_kv_cache_required_len,stat_kv_cache_use_model_context,stat_medusa_choice_count,stat_medusa_choice_max_depth,stat_model_context_window,stat_packed_kv_qjl_auto_disable_events,stat_packed_kv_qjl_enabled,stat_packed_kv_qjl_fallback_steps,stat_packed_kv_qjl_gated_steps,stat_packed_kv_qjl_min_len,stat_packed_kv_qjl_steps,stat_planner_bypass_steps,stat_planner_full_tree_decisions,stat_planner_steps,stat_pruned_tree_steps,stat_selected_candidate_paths,stat_skip_gating_steps,stat_tree_policy,stat_turbo_auto_steps,stat_verified_tree_nodes,text
python_grouping,medusa_base,48,31,1.2,1.5,64.0,0.879604701000062,0.8795812480002496,54.56996756091304,1.0,1.0,3944.08740234375,3962.0,131072,0.00060272216796875,2.46875,1.446533203125,1.7066666666666668,0.0096435546875,0.00390625,0,0,63,0,1344,32,medusa,0,32,32,48,32768,239,0,63,4,131072,0,0,0,0,16384,0,0,0,0,0,1344,0,fixed,0,2048,"```python
from typing import Dict, List, Tuple

def group_strings_by_first_letter(strings: List[str]) -> Dict[str, List[str]]:
    """"""
    Groups strings by their first letter.

    Args:
    strings (List[str"
python_grouping,turbo_fast_8,48,31,1.2,1.3714285714285714,9.0,0.7647708039999088,0.7647358679996614,62.76390226843142,1.1501546560087654,1.0,3940.9140625,3958.0,131072,0.00060272216796875,2.46875,1.446533203125,1.7066666666666668,0.0096435546875,0.00390625,0,0,8,0,175,35,medusa,0,35,35,48,32768,199,0,8,3,131072,0,0,0,0,16384,0,0,0,0,0,175,0,fixed,0,315,"```python
from typing import Dict, List, Tuple

def group_strings_by_first_letter(strings: List[str]) -> Dict[str, List[str]]:
    """"""
    Groups strings by their first letter.

    Args:
    strings (List[str"
python_grouping,turbo_fast_16,48,31,1.2,1.411764705882353,17.0,0.8098109280003882,0.8097768420002467,59.27309491676431,1.086185269408516,1.0,3938.0849609375,3958.0,131072,0.00060272216796875,2.46875,1.446533203125,1.7066666666666668,0.0096435546875,0.00390625,0,0,16,0,408,34,medusa,0,34,34,48,32768,199,0,16,3,131072,0,0,0,0,16384,0,0,0,0,0,408,0,fixed,0,578,"```python
from typing import Dict, List, Tuple

def group_strings_by_first_letter(strings: List[str]) -> Dict[str, List[str]]:
    """"""
    Groups strings by their first letter.

    Args:
    strings (List[str"
python_grouping,turbo_fast_24,48,31,1.2,1.411764705882353,25.0,0.851422556000216,0.8513626410003781,56.376237229951684,1.0331000685866711,1.0,3939.04150390625,3960.0,131072,0.00060272216796875,2.46875,1.446533203125,1.7066666666666668,0.0096435546875,0.00390625,0,0,24,0,646,34,medusa,0,34,34,48,32768,199,0,24,3,131072,0,0,0,0,16384,0,0,0,0,0,646,0,fixed,0,850,"```python
from typing import Dict, List, Tuple

def group_strings_by_first_letter(strings: List[str]) -> Dict[str, List[str]]:
    """"""
    Groups strings by their first letter.

    Args:
    strings (List[str"
python_grouping,turbo_fast_32,48,31,1.2,1.411764705882353,33.0,0.8400766320000912,0.8400539780000145,57.1376445571632,1.0470529324281532,1.0,3940.07568359375,3960.0,131072,0.00060272216796875,2.46875,1.446533203125,1.7066666666666668,0.0096435546875,0.00390625,0,0,32,0,816,34,medusa,0,34,34,48,32768,199,0,32,3,131072,0,0,0,0,16384,0,0,0,0,0,816,0,fixed,0,1122,"```python
from typing import Dict, List, Tuple

def group_strings_by_first_letter(strings: List[str]) -> Dict[str, List[str]]:
    """"""
    Groups strings by their first letter.

    Args:
    strings (List[str"
cuda_kernel,medusa_base,48,28,1.2,1.263157894736842,64.0,1.0610685829997237,1.0610453979998056,45.23741515774621,1.0,1.0,3944.0869140625,3962.0,131072,0.000579833984375,2.375,1.3916015625,1.7066666666666668,0.00927734375,0.00390625,0,0,63,0,1596,38,medusa,0,38,38,48,32768,236,0,63,4,131072,0,0,0,0,16384,0,0,0,0,0,1596,0,fixed,0,2432,"Here is a minimal CUDA C++ vector addition kernel:
```c
__global__ void add_vectors(float* a, float* b, float* c, int n) {
    int idx = blockIdx.x * blockDim.x + threadIdx.x"
cuda_kernel,turbo_fast_8,43,28,1.075,1.075,9.0,0.8894885649997377,0.8894609959997979,48.34238650388123,1.0686372405520463,0.5277777777777778,3940.90234375,3958.0,131072,0.00054168701171875,2.21875,1.300048828125,1.7066666666666668,0.0086669921875,0.00390625,0,0,8,0,200,40,medusa,0,40,40,43,32768,196,0,8,3,131072,0,0,0,0,16384,0,0,0,0,0,200,0,fixed,0,360,"Here is a minimal CUDA C++ vector addition kernel:
```c
__global__ void add_kernel(float* a, float* b, float* c, int n) {
    int idx = blockIdx.x *"
cuda_kernel,turbo_fast_16,46,28,1.15,1.15,17.0,0.9741444139999658,0.9741127820002475,47.22092467904006,1.0438466591067859,0.4840764331210191,3938.04541015625,3958.0,131072,0.0005645751953125,2.3125,1.35498046875,1.7066666666666668,0.009033203125,0.00390625,0,0,16,0,480,40,medusa,0,40,40,46,32768,196,0,16,3,131072,0,0,0,0,16384,0,0,0,0,0,480,0,fixed,0,680,"Here is a minimal CUDA C++ vector addition kernel:
```c
__global__ void add_kernel(float* a, float* b, float* c, int n) {
    int idx = blockIdx.x * blockDim.x +"
cuda_kernel,turbo_fast_24,48,28,1.2,1.263157894736842,25.0,0.9529614060002132,0.9529321129998607,50.369301104717835,1.1134433947889453,0.44970414201183434,3939.041015625,3960.0,131072,0.000579833984375,2.375,1.3916015625,1.7066666666666668,0.00927734375,0.00390625,0,0,24,0,722,38,medusa,0,38,38,48,32768,196,0,24,3,131072,0,0,0,0,16384,0,0,0,0,0,722,0,fixed,0,950,"Here is a minimal CUDA C++ vector addition kernel:
```c
__global__ void add_kernel(float* a, float* b, float* c, int n) {
    int idx = blockIdx.x * blockDim.x + threadIdx.x"
cuda_kernel,turbo_fast_32,48,28,1.2,1.2972972972972974,33.0,0.908202928999799,0.9081816819998494,52.85162430918633,1.1683166273954602,0.44970414201183434,3940.0751953125,3960.0,131072,0.000579833984375,2.375,1.3916015625,1.7066666666666668,0.00927734375,0.00390625,0,0,32,0,888,37,medusa,0,37,37,48,32768,196,0,32,3,131072,0,0,0,0,16384,0,0,0,0,0,888,0,fixed,0,1221,"Here is a minimal CUDA C++ vector addition kernel:
```c
__global__ void add_kernel(float* a, float* b, float* c, int n) {
    int idx = blockIdx.x * blockDim.x + threadIdx.x"
