category,mode,tokens,prompt_tokens,tokens_per_step_cap,accepted_tokens_per_step,verified_nodes_per_step,total_s,ttft_s,tps,speedup_vs_base,prefix_match_vs_base,peak_alloc_mb,peak_reserved_mb,fp16_kv_mb_est,ideal_turbo_vq_kv_mb_est,ideal_turbo_vq_transfer_reduction,stat_adaptive_tree_balanced_steps,stat_adaptive_tree_steps,stat_candidate_paths_considered,stat_decode_steps,stat_fallback_full_tree_steps,stat_full_tree_steps,stat_fused_lm_head_argmax_steps,stat_generated_tokens,stat_medusa_choice_count,stat_medusa_choice_max_depth,stat_packed_kv_qjl_auto_disable_events,stat_packed_kv_qjl_fallback_steps,stat_packed_kv_qjl_gated_steps,stat_packed_kv_qjl_steps,stat_planner_bypass_steps,stat_planner_full_tree_decisions,stat_planner_steps,stat_pruned_tree_steps,stat_selected_candidate_paths,stat_skip_gating_steps,stat_turbo_auto_steps,stat_verified_tree_nodes,text
chat,medusa_base,46,34,1.3142857142857143,1.3142857142857143,64.0,0.6290651689996594,0.6290442339995934,73.12437926447157,1.0,1.0,2347.27099609375,2458.0,1.71875,1.007080078125,1.7066666666666668,0,0,1470,35,0,35,0,45,63,4,0,0,0,0,0,0,0,0,1470,0,0,2240,"1. Set a deadline: Give yourself a specific deadline for completing the assignment. This will help you stay focused and motivated.

2. Break the task into smaller steps: If the assignment seems over"
chat,turbo_fast_24,46,34,1.3142857142857143,1.3142857142857143,25.0,0.49549678999755997,0.495475911997346,92.83612109823461,1.2695645697376914,1.0,2197.513671875,2306.0,1.71875,1.007080078125,1.7066666666666668,0,0,665,35,0,35,0,45,24,3,0,0,0,0,0,0,0,0,665,0,0,875,"1. Set a deadline: Give yourself a specific deadline for completing the assignment. This will help you stay focused and motivated.

2. Break the task into smaller steps: If the assignment seems over"
chat,turbo_auto,46,34,1.3142857142857143,1.3142857142857143,29.34285714285714,0.5115468260009948,0.5115204979992996,89.92334164128026,1.2297313501431757,1.0,2198.10009765625,2306.0,1.71875,1.007080078125,1.7066666666666668,19,35,760,35,0,35,0,45,24,3,0,0,0,0,0,0,0,0,760,0,35,1027,"1. Set a deadline: Give yourself a specific deadline for completing the assignment. This will help you stay focused and motivated.

2. Break the task into smaller steps: If the assignment seems over"
chat,turbo_adaptive_24_32,46,34,1.3142857142857143,1.3142857142857143,29.34285714285714,0.518836684001144,0.5187818830017932,88.65988357889238,1.2124531445010014,1.0,2198.10009765625,2306.0,1.71875,1.007080078125,1.7066666666666668,19,35,760,35,0,35,0,45,24,3,0,0,0,0,0,0,0,0,760,0,0,1027,"1. Set a deadline: Give yourself a specific deadline for completing the assignment. This will help you stay focused and motivated.

2. Break the task into smaller steps: If the assignment seems over"
summarization,medusa_base,42,33,1.2,1.2,64.0,0.6379010439995909,0.6378749590003281,65.84093315894766,1.0,1.0,2347.302734375,2458.0,1.611328125,0.9441375732421875,1.7066666666666668,0,0,1470,35,0,35,0,43,63,4,0,0,0,0,0,0,0,0,1470,0,0,2240,"Renewable energy storage is crucial for electric grids because it allows for the integration of variable renewable energy sources like wind and solar into the grid, reducing the need for expensive and polluting fossil"
summarization,turbo_fast_24,40,33,1.1428571428571428,1.1428571428571428,25.0,0.49588475199925597,0.49586309399819584,80.66390393883299,1.225133060372959,1.0,2197.51318359375,2306.0,1.568359375,0.9189605712890625,1.7066666666666668,0,0,665,35,0,35,0,41,24,3,0,0,0,0,0,0,0,0,665,0,0,875,"Renewable energy storage is crucial for electric grids because it allows for the integration of variable renewable energy sources like wind and solar into the grid, reducing the need for expensive and polluting"
summarization,turbo_auto,41,33,1.1714285714285715,1.1714285714285715,30.257142857142856,0.5091055970005982,0.5090822780002782,80.53339079662844,1.2231508110951508,1.0,2198.099609375,2306.0,1.58984375,0.931549072265625,1.7066666666666668,23,35,780,35,0,35,0,42,24,3,0,0,0,0,0,0,0,0,780,0,35,1059,"Renewable energy storage is crucial for electric grids because it allows for the integration of variable renewable energy sources like wind and solar into the grid, reducing the need for expensive and polluting foss"
summarization,turbo_adaptive_24_32,41,33,1.1714285714285715,1.1714285714285715,30.257142857142856,0.5096284719984396,0.5096053390007,80.45076414044138,1.2218958675179146,1.0,2198.099609375,2306.0,1.58984375,0.931549072265625,1.7066666666666668,23,35,780,35,0,35,0,42,24,3,0,0,0,0,0,0,0,0,780,0,0,1059,"Renewable energy storage is crucial for electric grids because it allows for the integration of variable renewable energy sources like wind and solar into the grid, reducing the need for expensive and polluting foss"
reasoning,medusa_base,40,56,1.1428571428571428,1.4814814814814814,64.0,0.49147161900327774,0.491451115001837,81.38821948889226,1.0,1.0,2347.30517578125,2458.0,2.0625,1.20849609375,1.7066666666666668,0,0,1134,27,0,27,0,41,63,4,0,0,0,0,0,0,0,0,1134,0,0,1728,"The second train leaves at 4 PM traveling 80 mph on the same route as the first train. Therefore, the second train catches the first train at 3 PM. "
reasoning,turbo_fast_24,39,56,1.1142857142857143,1.4444444444444444,25.0,0.38846500299769104,0.3884434979991056,100.39514421903228,1.2335341017348838,1.0,2198.19287109375,2308.0,2.041015625,1.1959075927734375,1.7066666666666668,0,0,513,27,0,27,0,40,24,3,0,0,0,0,0,0,0,0,513,0,0,675,"The second train leaves at 4 PM traveling 80 mph on the same route as the first train. Therefore, the second train catches the first train at 3 PM."
reasoning,turbo_auto,39,56,1.1142857142857143,1.4444444444444444,27.37037037037037,0.39736628600076074,0.39733687400075723,98.14622270175516,1.2059020742571964,1.0,2198.1611328125,2308.0,2.041015625,1.1959075927734375,1.7066666666666668,8,27,553,27,0,27,0,40,24,3,0,0,0,0,0,0,0,0,553,0,27,739,"The second train leaves at 4 PM traveling 80 mph on the same route as the first train. Therefore, the second train catches the first train at 3 PM."
reasoning,turbo_adaptive_24_32,39,56,1.1142857142857143,1.4444444444444444,27.37037037037037,0.4017301210005826,0.4016934860010224,97.08009920407099,1.1928028382205895,1.0,2198.1611328125,2308.0,2.041015625,1.1959075927734375,1.7066666666666668,8,27,553,27,0,27,0,40,24,3,0,0,0,0,0,0,0,0,553,0,0,739,"The second train leaves at 4 PM traveling 80 mph on the same route as the first train. Therefore, the second train catches the first train at 3 PM."
